ID, Antenna, Switches, Position, Value, Value decimal
512, 01, 1111, 01, 1111111111111011, -5
513, 01, 1111, 01, 0000000000000001, 1
514, 01, 1111, 01, 0000000000000001, 1
515, 01, 1111, 01, 0000000000000010, 2
516, 01, 1111, 01, 0000000000000010, 2
517, 01, 1111, 01, 1111111111111111, -1
518, 01, 1111, 01, 1111111111111111, -1
519, 01, 1111, 01, 0000000000000001, 1
520, 01, 1111, 01, 0000000000000000, 0
521, 01, 1111, 01, 0000000000000000, 0
522, 01, 1111, 01, 0000000000000010, 2
523, 01, 1111, 01, 0000000000000010, 2
524, 01, 1111, 01, 0000000000000001, 1
525, 01, 1111, 01, 0000000000000000, 0
526, 01, 1111, 01, 0000000000000001, 1
527, 01, 1111, 01, 0000000000000000, 0
528, 01, 1111, 01, 0000000000000001, 1
529, 01, 1111, 01, 0000000000000000, 0
530, 01, 1111, 01, 1111111111111111, -1
531, 01, 1111, 01, 0000000000000000, 0
532, 01, 1111, 01, 0000000000000000, 0
533, 01, 1111, 01, 1111111111111111, -1
534, 01, 1111, 01, 1111111111111111, -1
535, 01, 1111, 01, 0000000000000001, 1
536, 01, 1111, 01, 0000000000000001, 1
537, 01, 1111, 01, 0000000000000001, 1
538, 01, 1111, 01, 0000000000000000, 0
539, 01, 1111, 01, 0000000000000000, 0
540, 01, 1111, 01, 0000000000000001, 1
541, 01, 1111, 01, 0000000000000001, 1
542, 01, 1111, 01, 0000000000000000, 0
543, 01, 1111, 01, 0000000000000000, 0
544, 01, 1111, 01, 0000000000000001, 1
545, 01, 1111, 01, 0000000000000001, 1
546, 01, 1111, 01, 0000000000000000, 0
547, 01, 1111, 01, 0000000000000000, 0
548, 01, 1111, 01, 0000000000000001, 1
549, 01, 1111, 01, 1111111111111111, -1
550, 01, 1111, 01, 0000000000000000, 0
551, 01, 1111, 01, 1111111111111111, -1
552, 01, 1111, 01, 1111111111111111, -1
553, 01, 1111, 01, 0000000000000001, 1
554, 01, 1111, 01, 0000000000000001, 1
555, 01, 1111, 01, 0000000000000001, 1
556, 01, 1111, 01, 0000000000000010, 2
557, 01, 1111, 01, 0000000000000011, 3
558, 01, 1111, 01, 0000000000000000, 0
559, 01, 1111, 01, 0000000000000001, 1
560, 01, 1111, 01, 0000000000000000, 0
561, 01, 1111, 01, 0000000000000010, 2
562, 01, 1111, 01, 0000000000000010, 2
563, 01, 1111, 01, 0000000000000010, 2
564, 01, 1111, 01, 0000000000000001, 1
565, 01, 1111, 01, 0000000000000000, 0
566, 01, 1111, 01, 0000000000000001, 1
567, 01, 1111, 01, 0000000000000010, 2
568, 01, 1111, 01, 0000000000000001, 1
569, 01, 1111, 01, 0000000000000001, 1
570, 01, 1111, 01, 0000000000000011, 3
571, 01, 1111, 01, 0000000000000000, 0
572, 01, 1111, 01, 0000000000000000, 0
573, 01, 1111, 01, 0000000000000001, 1
574, 01, 1111, 01, 1111111111111111, -1
575, 01, 1111, 01, 0000000000000000, 0
576, 01, 1111, 01, 0000000000000000, 0
577, 01, 1111, 01, 1111111111111111, -1
578, 01, 1111, 01, 0000000000000001, 1
579, 01, 1111, 01, 0000000000000000, 0
580, 01, 1111, 01, 0000000000000000, 0
581, 01, 1111, 01, 0000000000000000, 0
582, 01, 1111, 01, 0000000000000000, 0
583, 01, 1111, 01, 0000000000000001, 1
584, 01, 1111, 01, 0000000000000010, 2
585, 01, 1111, 01, 0000000000000000, 0
586, 01, 1111, 01, 0000000000000001, 1
587, 01, 1111, 01, 1111111111111111, -1
588, 01, 1111, 01, 1111111111111111, -1
589, 01, 1111, 01, 0000000000000001, 1
590, 01, 1111, 01, 1111111111111111, -1
591, 01, 1111, 01, 0000000000000001, 1
592, 01, 1111, 01, 0000000000000001, 1
593, 01, 1111, 01, 0000000000000011, 3
594, 01, 1111, 01, 0000000000000000, 0
595, 01, 1111, 01, 0000000000000011, 3
596, 01, 1111, 01, 0000000000000001, 1
597, 01, 1111, 01, 0000000000000001, 1
598, 01, 1111, 01, 0000000000000001, 1
599, 01, 1111, 01, 0000000000000000, 0
600, 01, 1111, 01, 0000000000000001, 1
601, 01, 1111, 01, 0000000000000000, 0
602, 01, 1111, 01, 0000000000000000, 0
