time realx realy realh kalx kaly kalh gpsx gpsy gpsh kinx kiny kinh imuh
4.77824 -6.10882e-05 0.277401 -0.0111755 -9.92492e-05 0.281778 -0.0111755 -0.188986 0.463124 -20.6431 0 0.271631 0 138.767
4.79522 -6.30474e-05 0.287521 -0.0110104 -0.000104323 0.292114 -0.0110104 -0.188986 0.463124 -20.6431 0 0.281677 0 138.767
4.81222 -6.53648e-05 0.297824 -0.0147626 -0.000109877 0.302564 -0.0147626 -0.188986 0.463124 -20.6431 0 0.292018 0 138.763
4.82924 -6.80557e-05 0.30833 -0.014587 -0.000116087 0.313241 -0.0145871 -0.188986 0.463124 -20.6431 0 0.302471 0 138.763
4.84624 -7.03769e-05 0.318996 -0.0103509 -0.000122198 0.324137 -0.0103509 -0.188986 0.463124 -20.6431 0 0.313127 0 138.768
4.86325 -7.23222e-05 0.329859 -0.0101711 -0.000128158 0.335173 -0.0101711 -0.188986 0.463124 -20.6431 0 0.324019 0 138.768
4.88025 -7.38589e-05 0.34089 -0.00579112 -0.000133992 0.346419 -0.00579112 -0.188986 0.463124 -20.6431 0 0.335043 0 138.772
4.89725 -7.49751e-05 0.352114 -0.00560547 -0.000139809 0.357882 -0.00560547 -0.188986 0.463124 -20.6431 0 0.346278 0 138.772
4.91425 -7.65023e-05 0.363509 -0.00975243 -0.000146281 0.369474 -0.00975244 -0.188986 0.463124 -20.6431 0 0.357729 0 138.768
4.93125 -7.84558e-05 0.375101 -0.00955849 -0.000153602 0.381286 -0.0095585 -0.188986 0.463124 -20.6431 0 0.369315 0 138.768
4.94825 -7.99383e-05 0.38686 -0.00488746 -0.000160696 0.393242 -0.00488746 -0.188986 0.463124 -20.6431 0 0.381109 0 138.773
4.96526 -8.09372e-05 0.398814 -0.00468844 -0.000167869 0.40543 -0.00468844 -0.188986 0.463124 -20.6431 0 0.393054 0 138.773
4.98227 -8.23969e-05 0.410943 -0.0091034 -0.000175962 0.417802 -0.00910341 -0.188986 0.463124 -20.6431 0 0.40523 0 138.769
4.99925 -8.43306e-05 0.423247 -0.00890451 -0.000184811 0.430277 -0.00890452 -0.188986 0.463124 -20.6431 0 0.41757 0 138.769
5.01625 -8.57315e-05 0.435735 -0.00395126 -0.00018508 0.443015 -0.00395126 0.0276098 0.382709 110.368 0 0.43004 0 138.774
5.03325 -8.65828e-05 0.44841 -0.00374493 -0.000184797 0.455847 -0.00374493 0.0276098 0.382709 110.368 0 0.442776 0 138.774
5.05027 -8.79509e-05 0.461278 -0.00843785 -0.000184936 0.468931 -0.00843785 0.0276098 0.382709 110.368 0 0.45563 0 138.77
5.06726 -8.98473e-05 0.474311 -0.00823571 -0.000185537 0.482102 -0.00823571 0.0276098 0.382709 110.368 0 0.468689 0 138.77
5.08427 -9.11434e-05 0.487536 -0.00299511 -0.000185345 0.495523 -0.00299511 0.0276098 0.382709 110.368 0 0.481882 0 138.775
